200,697	895,5
200,927	38,5
201,158	32,5
201,388	29,5
201,618	1695,5
201,849	1401,5
202,079	1712,5
202,309	1507,5
202,539	1720,5
202,77	1553,5
203	1741,5
203,23	1651,5
203,46	1630,5
203,691	1650,5
203,921	1711,5
204,151	1676,5
204,381	1629,5
204,611	1787,5
204,841	1564,5
205,071	1596,5
205,302	1820,5
205,532	1763,5
205,762	3791,5
205,992	1599,5
206,222	1581,5
206,452	1667,5
206,682	1697,5
206,912	1608,5
207,142	1794,5
207,372	1715,5
207,602	1571,5
207,832	1647,5
208,062	1736,5
208,292	1745,5
208,522	1542,5
208,752	1664,5
208,982	1608,5
209,212	1814,5
209,442	1648,5
209,672	1670,5
209,902	1637,5
210,131	1789,5
210,361	1563,5
210,591	1635,5
210,821	1623,5
211,051	1832,5
211,281	1673,5
211,51	1692,5
211,74	1735,5
211,97	1744,5
212,2	1696,5
212,429	1962,5
212,659	1754,5
212,889	1770,5
213,119	1585,5
213,348	1639,5
213,578	1759,5
213,808	1692,5
214,037	1866,5
214,267	1756,5
214,497	1766,5
214,726	1640,5
214,956	1622,5
215,186	1701,5
215,415	1567,5
215,645	1799,5
215,874	1715,5
216,104	1597,5
216,333	1710,5
216,563	1579,5
216,792	1682,5
217,022	1754,5
217,251	1674,5
217,481	1660,5
217,71	1693,5
217,94	1651,5
218,169	1800,5
218,399	1751,5
218,628	1611,5
218,858	1828,5
219,087	1699,5
219,316	1794,5
219,546	1692,5
219,775	1762,5
220,004	1858,5
220,234	1627,5
220,463	1680,5
220,692	1851,5
220,922	1709,5
221,151	1761,5
221,38	1654,5
221,61	2058,5
221,839	2020,5
222,068	1740,5
222,297	1907,5
222,526	1789,5
222,756	1829,5
222,985	1869,5
223,214	1743,5
223,443	1746,5
223,672	2235,5
223,902	1647,5
224,131	1706,5
224,36	1884,5
224,589	1602,5
224,818	1737,5
225,047	2085,5
225,276	1692,5
225,505	1949,5
225,734	1797,5
225,963	1407,5
226,192	1773,5
226,421	1651,5
226,65	1712,5
226,879	1974,5
227,108	1831,5
227,337	1952,5
227,566	1942,5
227,795	1829,5
228,024	1826,5
228,253	1721,5
228,482	1662,5
228,711	1800,5
228,94	1626,5
229,168	1686,5
229,397	1662,5
229,626	1783,5
229,855	1681,5
230,084	1640,5
230,313	1643,5
