200,697	906,5
200,927	-8,5
201,158	-12,5
201,388	-6,5
201,618	44,5
201,849	53,5
202,079	79,5
202,309	127,5
202,539	137,5
202,77	142,5
203	145,5
203,23	142,5
203,46	153,5
203,691	186,5
203,921	151,5
204,151	170,5
204,381	169,5
204,611	161,5
204,841	172,5
205,071	194,5
205,302	195,5
205,532	183,5
205,762	249,5
205,992	206,5
206,222	199,5
206,452	220,5
206,682	242,5
206,912	245,5
207,142	243,5
207,372	261,5
207,602	264,5
207,832	262,5
208,062	262,5
208,292	277,5
208,522	279,5
208,752	290,5
208,982	307,5
209,212	326,5
209,442	323,5
209,672	349,5
209,902	365,5
210,131	379,5
210,361	366,5
210,591	397,5
210,821	389,5
211,051	386,5
211,281	391,5
211,51	421,5
211,74	438,5
211,97	453,5
212,2	457,5
212,429	474,5
212,659	481,5
212,889	517,5
213,119	509,5
213,348	505,5
213,578	555,5
213,808	546,5
214,037	577,5
214,267	546,5
214,497	592,5
214,726	579,5
214,956	579,5
215,186	591,5
215,415	650,5
215,645	636,5
215,874	663,5
216,104	699,5
216,333	663,5
216,563	695,5
216,792	731,5
217,022	756,5
217,251	726,5
217,481	751,5
217,71	744,5
217,94	791,5
218,169	793,5
218,399	789,5
218,628	767,5
218,858	807,5
219,087	799,5
219,316	772,5
219,546	767,5
219,775	701,5
220,004	690,5
220,234	631,5
220,463	626,5
220,692	564,5
220,922	511,5
221,151	456,5
221,38	449,5
221,61	434,5
221,839	470,5
222,068	525,5
222,297	623,5
222,526	740,5
222,756	840,5
222,985	976,5
223,214	1089,5
223,443	1212,5
223,672	1276,5
223,902	1383,5
224,131	1568,5
224,36	1675,5
224,589	1694,5
224,818	1892,5
225,047	1961,5
225,276	2078,5
225,505	2156,5
225,734	2268,5
225,963	2354,5
226,192	2413,5
226,421	2543,5
226,65	2561,5
226,879	2623,5
227,108	2658,5
227,337	2768,5
227,566	2824,5
227,795	2907,5
228,024	2958,5
228,253	3106,5
228,482	3196,5
228,711	3248,5
228,94	3299,5
229,168	3428,5
229,397	3433,5
229,626	3544,5
229,855	3613,5
230,084	3665,5
230,313	3772,5
230,541	3928,5
230,77	3960,5
230,999	4046,5
231,228	4097,5
231,456	4255,5
231,685	4274,5
231,914	4391,5
232,143	4508,5
232,371	4610,5
232,6	4719,5
232,829	4634,5
233,057	4772,5
233,286	4864,5
233,515	4894,5
233,743	4949,5
233,972	5070,5
234,2	5163,5
234,429	5263,5
234,658	5294,5
234,886	5513,5
235,115	5621,5
235,343	5629,5
235,572	5694,5
235,8	5895,5
236,029	5903,5
236,257	5907,5
236,486	6068,5
236,714	6053,5
236,943	6140,5
237,171	6321,5
237,399	6369,5
237,628	6521,5
237,856	6662,5
238,085	6577,5
238,313	6679,5
238,541	6680,5
238,77	6789,5
238,998	6872,5
239,226	7032,5
239,455	7063,5
239,683	7197,5
239,911	7258,5
240,14	7284,5
240,368	7405,5
240,596	7410,5
240,824	7573,5
241,053	7671,5
241,281	7642,5
241,509	7738,5
241,737	7844,5
241,965	7972,5
242,193	8069,5
242,422	8156,5
242,65	8316,5
242,878	8346,5
243,106	8349,5
243,334	8586,5
243,562	8551,5
243,79	8631,5
244,018	8680,5
244,246	8754,5
244,474	8864,5
244,702	8941,5
244,93	8959,5
245,158	9070,5
245,386	9341,5
245,614	9433,5
245,842	9362,5
246,07	9466,5
246,298	9537,5
246,526	9577,5
246,754	9617,5
246,982	9696,5
247,21	9840,5
247,438	9972,5
247,666	10037,5
247,893	10132,5
248,121	10056,5
248,349	10185,5
248,577	10238,5
248,805	10329,5
249,033	10343,5
249,26	10427,5
249,488	10436,5
249,716	10432,5
249,944	10598,5
250,171	10604,5
250,399	10680,5
250,627	10754,5
250,854	10904,5
251,082	10971,5
251,31	11057,5
251,537	11109,5
251,765	11038,5
251,993	11107,5
252,22	11083,5
252,448	11165,5
252,676	11228,5
252,903	11263,5
253,131	11468,5
253,358	11516,5
253,586	11617,5
253,813	11635,5
254,041	11720,5
254,268	11736,5
254,496	11749,5
254,723	11826,5
254,951	11823,5
255,178	11920,5
255,406	12020,5
255,633	11977,5
255,86	12010,5
256,088	12038,5
256,315	12098,5
256,543	12162,5
256,77	12213,5
256,997	12267,5
257,225	12275,5
257,452	12365,5
257,679	12373,5
257,907	12381,5
258,134	12453,5
258,361	12423,5
258,588	12481,5
258,816	12508,5
259,043	12472,5
259,27	12490,5
259,497	12692,5
259,725	12589,5
259,952	12520,5
260,179	12624,5
260,406	12660,5
260,633	12617,5
260,86	12675,5
261,088	12695,5
261,315	12720,5
261,542	12605,5
261,769	12759,5
261,996	12724,5
262,223	12785,5
262,45	12819,5
262,677	12866,5
262,904	12886,5
263,131	12839,5
263,358	12815,5
263,585	12873,5
263,812	12900,5
264,039	12963,5
264,266	12927,5
264,493	12793,5
264,72	12855,5
264,947	12755,5
265,174	12867,5
265,401	12771,5
265,627	12815,5
265,854	12809,5
266,081	12756,5
266,308	12611,5
266,535	12591,5
266,762	12683,5
266,988	12736,5
267,215	12493,5
267,442	12535,5
267,669	12588,5
267,896	12434,5
268,122	12547,5
268,349	12543,5
268,576	12388,5
268,802	12392,5
269,029	12541,5
269,256	12443,5
269,482	12457,5
269,709	12436,5
269,936	12308,5
270,162	12536,5
270,389	12515,5
270,616	12496,5
270,842	12446,5
271,069	12573,5
271,295	12509,5
271,522	12470,5
271,748	12632,5
271,975	12742,5
272,201	12966,5
272,428	12944,5
272,654	12891,5
272,881	12868,5
273,107	13043,5
273,334	13163,5
273,56	13168,5
273,787	13209,5
274,013	13408,5
274,239	13262,5
274,466	13403,5
274,692	13511,5
274,918	13547,5
275,145	13565,5
275,371	13836,5
275,597	13726,5
275,824	13841,5
276,05	13979,5
276,276	13932,5
276,503	13877,5
276,729	14019,5
276,955	14055,5
277,181	14146,5
277,407	14221,5
277,634	14243,5
277,86	14111,5
278,086	14144,5
